P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.40,RANDOM,PROXIMITY,92
0.40,RANDOM,DEGREE,17
0.40,RANDOM,PROTECTION,391
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.45,RANDOM,PROXIMITY,120
0.45,RANDOM,DEGREE,19
0.45,RANDOM,PROTECTION,361
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
