P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.80,RANDOM,PROXIMITY,6
0.80,RANDOM,DEGREE,4
0.80,RANDOM,PROTECTION,187
0.80,RANDOM,RANDOM,10
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,3
0.90,RANDOM,PROTECTION,197
0.90,RANDOM,RANDOM,4
