MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
3,MIXED,PROXIMITY,287
3,MIXED,DEGREE,78
3,MIXED,PROTECTION,153
3,MIXED,RANDOM,10
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
4,MIXED,PROXIMITY,224
4,MIXED,DEGREE,75
4,MIXED,PROTECTION,210
4,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
5,MIXED,PROXIMITY,173
5,MIXED,DEGREE,55
5,MIXED,PROTECTION,273
5,MIXED,RANDOM,13
