MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
4,RANDOM,PROXIMITY,70
4,RANDOM,DEGREE,37
4,RANDOM,PROTECTION,150
4,RANDOM,RANDOM,10
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
5,RANDOM,PROXIMITY,59
5,RANDOM,DEGREE,26
5,RANDOM,PROTECTION,166
5,RANDOM,RANDOM,9
