MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
4,DETERMINISTIC,PROXIMITY,130
4,DETERMINISTIC,DEGREE,39
4,DETERMINISTIC,PROTECTION,150
4,DETERMINISTIC,RANDOM,24
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
5,DETERMINISTIC,PROXIMITY,162
5,DETERMINISTIC,DEGREE,49
5,DETERMINISTIC,PROTECTION,117
5,DETERMINISTIC,RANDOM,18
