P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.15,RANDOM,PROXIMITY,13
0.15,RANDOM,DEGREE,0
0.15,RANDOM,PROTECTION,488
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.20,RANDOM,PROXIMITY,4
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,496
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.25,RANDOM,PROXIMITY,0
0.25,RANDOM,DEGREE,0
0.25,RANDOM,PROTECTION,500
0.30,RANDOM,PROXIMITY,0
0.30,RANDOM,DEGREE,0
0.30,RANDOM,PROTECTION,500
0.30,RANDOM,PROXIMITY,0
0.30,RANDOM,DEGREE,0
0.30,RANDOM,PROTECTION,500
0.30,RANDOM,PROXIMITY,0
0.30,RANDOM,DEGREE,0
0.30,RANDOM,PROTECTION,500
0.30,RANDOM,PROXIMITY,0
0.30,RANDOM,DEGREE,0
0.30,RANDOM,PROTECTION,500
0.30,RANDOM,PROXIMITY,0
0.30,RANDOM,DEGREE,0
0.30,RANDOM,PROTECTION,500
0.30,RANDOM,PROXIMITY,0
