P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.15,MIXED,PROXIMITY,31
0.15,MIXED,DEGREE,13
0.15,MIXED,PROTECTION,465
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.20,MIXED,PROXIMITY,4
0.20,MIXED,DEGREE,1
0.20,MIXED,PROTECTION,495
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.25,MIXED,PROXIMITY,0
0.25,MIXED,DEGREE,0
0.25,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
0.30,MIXED,DEGREE,0
0.30,MIXED,PROTECTION,500
0.30,MIXED,PROXIMITY,0
