P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.20,DETERMINISTIC,PROXIMITY,500
0.20,DETERMINISTIC,DEGREE,0
0.20,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.25,DETERMINISTIC,PROXIMITY,500
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.30,DETERMINISTIC,PROXIMITY,500
0.30,DETERMINISTIC,DEGREE,0
0.30,DETERMINISTIC,PROTECTION,0
0.35,DETERMINISTIC,PROXIMITY,500
0.35,DETERMINISTIC,DEGREE,0
0.35,DETERMINISTIC,PROTECTION,0
0.35,DETERMINISTIC,PROXIMITY,500
0.35,DETERMINISTIC,DEGREE,0
0.35,DETERMINISTIC,PROTECTION,0
0.35,DETERMINISTIC,PROXIMITY,500
0.35,DETERMINISTIC,DEGREE,0
0.35,DETERMINISTIC,PROTECTION,0
0.35,DETERMINISTIC,PROXIMITY,500
0.35,DETERMINISTIC,DEGREE,0
0.35,DETERMINISTIC,PROTECTION,0
